url,dataset,номер_лота,площадь_м²,начальная_цена_руб,цена_за_м2_calc,округ,этаж_кат,этажность,тип_входа,наличие_метро,время_до_метро,расстояние_до_центра,расстояние_до_центра_округа,latitude,longitude,итоговая_цена_руб,превышение_цены_%,участники,год_торгов,статус,log_площадь,log_цена_за_м2,этаж_группа,is_floor_floor_1,is_floor_basement,is_floor_other,is_floor_floor_3_plus,is_floor_floor_2,is_small_area,is_center,metro_zone,price_category,area_per_metro,price_density
https://investmoscow.ru/tenders/tender/19768163,completed,19768163.0,90.3,6311000.0,69889.25802879292,ВАО,basement,4.0,Отдельный,1,12.0,,,,,7099875.0,12.5,17.0,2025.0,Завершено,4.514150787600923,11.154681548391572,basement,0,1,0,0,0,0,0,10+,cheap,6.946153846153846,878828.9638206724
https://investmoscow.ru/tenders/tender/19761285,completed,19761285.0,181.5,8954000.0,49333.333333333336,ВАО,basement,4.0,Отдельный,1,12.0,,,,,7834750.0,-12.5,8.0,2025.0,Завершено,5.206750173022546,10.806375534142974,basement,0,1,0,0,0,0,0,10+,cheap,13.961538461538462,620346.5802611838
https://investmoscow.ru/tenders/tender/19736764,completed,19736764.0,181.5,8954000.0,49333.333333333336,ВАО,basement,4.0,Отдельный,1,12.0,,,,,,0.0,0.0,2025.0,Завершено,5.206750173022546,10.806375534142974,basement,0,1,0,0,0,0,0,10+,cheap,13.961538461538462,620346.5802611838
https://investmoscow.ru/tenders/tender/19729877,completed,19729877.0,90.3,6311000.0,69889.25802879292,ВАО,basement,4.0,Отдельный,1,12.0,,,,,,0.0,0.0,2025.0,Завершено,4.514150787600923,11.154681548391572,basement,0,1,0,0,0,0,0,10+,cheap,6.946153846153846,878828.9638206724
https://investmoscow.ru/tenders/tender/19728599,completed,19728599.0,147.7,17092000.0,115721.05619498984,Зеленоград,1,16.0,Вход через места общего пользования,1,1.0,36.6619228994357,2.5074808578128245,55.991971,37.214241,15382800.0,-10.0,10.0,2025.0,Завершено,5.001930853466109,11.658946527641074,floor_1,1,0,0,0,0,0,0,0-5,medium,73.85,4242556.440061984
https://investmoscow.ru/tenders/tender/19727108,completed,19727108.0,147.7,17092000.0,115721.05619498984,Зеленоград,1,16.0,Вход через места общего пользования,1,1.0,36.6619228994357,2.5074808578128245,55.991971,37.214241,,0.0,0.0,2025.0,Завершено,5.001930853466109,11.658946527641074,floor_1,1,0,0,0,0,0,0,0-5,medium,73.85,4242556.440061984
https://investmoscow.ru/tenders/tender/19765137,completed,19765137.0,84.6,6694000.0,79125.29550827424,ЦАО,basement,5.0,Отдельный,1,1.0,1.5659109870975836,1.3130336822725155,55.7619694,37.6352359,11045100.0,65.0,9.0,2025.0,Завершено,4.449685283147696,11.278800532244816,basement,0,1,0,0,0,0,1,0-5,cheap,42.3,123903.16959374971
https://investmoscow.ru/tenders/tender/19757424,completed,19757424.0,38.2,12057000.0,315628.2722513089,ЦАО,mezzanine,5.0,Вход через подъезд,1,4.0,1.5659109870975836,1.3130336822725155,55.7619694,37.6352359,17482650.0,45.0,2.0,2025.0,Завершено,3.6686767467964168,12.662323614765883,other,0,0,1,0,0,1,1,0-5,cheap,7.640000000000001,494245.779356952
https://investmoscow.ru/tenders/tender/19798601,completed,19798601.0,143.3,20307000.0,141709.69993021633,ВАО,1,15.0,Отдельный,1,0.0,19.684576588791508,13.73689344871139,55.7009065,37.9192519,20307000.0,0.0,1.0,2025.0,Завершено,4.971894465779825,11.861542933979791,floor_1,1,0,0,0,0,0,0,0-5,medium,143.3,2789495.4416510058
https://investmoscow.ru/tenders/tender/19799020,completed,19799020.0,111.0,10384000.0,93549.54954954956,САО,basement,10.0,Вход через места общего пользования,1,0.0,7.837498671570963,1.1355833018401276,55.8000721,37.525605,18691200.0,80.0,9.0,2025.0,Завершено,4.718498871295094,11.446257206078885,basement,0,1,0,0,0,0,0,0-5,cheap,111.0,733194.4703206567
