lot_id,action,old_tw,new_tw,old_conf,new_conf,gap_days,company
19148242,added,,gap_snapshot_2023-12,,high,144,Госавтознак
19148248,added,,gap_snapshot_2024-05,,high,296,"Бристоль, магазин"
19148257,added,,gap_snapshot_2023-12,,medium,144,"Наумов, отель | Юрстар, коллегия адвокатов | Студия Тишины, центр гонг-медитации и релаксации"
19148372,added,,gap_snapshot_2023-12,,medium,144,"Персона Люблинская, имидж-лаборатория | Вай тай, салон тайского массажа и спа | Красное&Белое"
19148395,added,,gap_snapshot_2024-05,,high,296,"Буханка, пекарня"
19148816,added,,gap_snapshot_2023-12,,high,144,Bambini Loft
19148895,added,,gap_snapshot_2023-12,,high,144,Тн-Логистика
19148981,added,,gap_snapshot_2024-05,,high,296,"Wildberries, пункт выдачи товара"
19151788,added,,gap_snapshot_2024-05,,high,301,"Ozon, пункт выдачи товара"
19161994,added,,gap_snapshot_2023-12,,medium,137,"Тинькофф, банкомат | Tidi club, организация по прокату детских игрушек | 36,6, аптека №2727"
19184966,added,,gap_snapshot_2024-05,,medium,277,"Beauty boss, салон красоты | Мур, бьюти коворкинг"
19193475,added,,gap_snapshot_2024-05,,medium,270,"Bs-Tyres, интернет-магазин шин и дисков | Автобам, техцентр"
19193743,added,,gap_snapshot_2024-05,,medium,273,"Красное&Белое, магазин алкогольных напитков | Ак Барс, банк"
19195240,added,,gap_snapshot_2023-12,,high,117,"Моржи Столицы, спортивный клуб"
19196804,added,,gap_snapshot_2023-12,,high,128,"Автодети, магазин детских автокресел"
19198508,added,,gap_snapshot_2023-12,,high,121,"Гормедтехника департамента здравоохранения города Москвы, молочно-раздаточный пункт"
19198608,added,,gap_snapshot_2024-05,,high,273,Вкусвилл
19199739,added,,gap_snapshot_2023-12,,medium,118,"Arch 1908, демократичный ресторан"
19199969,added,,gap_snapshot_2024-05,,medium,270,"Just relax, студия массажа | Vibe Lashes, студия красоты | Центр подологии"
19202129,added,,gap_snapshot_2023-12,,high,118,"Recaro Service, мастерская по ремонту обуви и сумок"
19223608,added,,gap_snapshot_2023-12,,medium,109,"Добро пожаловать, хостел | Огулов центр"
19224729,added,,gap_snapshot_2024-05,,high,260,"Красное&Белое, магазин алкогольных напитков"
19225959,added,,gap_snapshot_2023-12,,medium,109,"Оптовый цветочный магазин, ИП Гзрарян Геворг Норикович"
19228468,added,,gap_snapshot_2023-12,,medium,109,"Клинико-диагностический центр | Happyпёс, ветеринарная клиника"
19235591,added,,gap_snapshot_2023-12,,high,100,"Магнит Косметик, магазин косметики и бытовой химии"
19237127,added,,gap_snapshot_2023-12,,medium,100,"Москино Вымпел, кинотеатр | Триумф, детский эстрадный шоу-театр | Галерея вымпел, кофейня"
19243677,added,,gap_snapshot_2023-12,,medium,97,"Велоспорт, профессиональный велосипедный салон"
19243835,added,,gap_snapshot_2023-12,,medium,97,"Совёнок, детский сад | Masha beauty | Атака, спортивный клуб"
19245376,added,,gap_snapshot_2023-12,,high,97,"Школа-студия живописи, Школа-студия живописи"
19255592,added,,gap_snapshot_2023-12,,high,95,"Laguna VIP, клиника косметологии"
19255777,added,,gap_snapshot_2023-12,,medium,95,"Viva, салон красоты"
19256196,added,,gap_snapshot_2024-05,,high,247,"Научно-практический центр детской психоневрологии , дневной стационар №1"
19256390,added,,gap_snapshot_2023-12,,high,95,"Хёгфорс-Москва, компания"
19270961,added,,gap_snapshot_2024-05,,high,235,"Volya school, школа вокала и музыки"
19274929,added,,gap_snapshot_2023-12,,medium,81,"Dиамант, студия красоты | LazerLPG, студия эпиляции и косметологии"
19275137,added,,gap_snapshot_2023-12,,medium,81,"Точка спорта, фитнес-клуб | BarVel, барбершоп"
19276559,added,,gap_snapshot_2023-12,,high,81,"Markin Fine jewellery, художественная мастерская"
19287789,added,,gap_snapshot_2023-12,,high,74,"Огонек, центр досуга и творчества"
19288992,added,,gap_snapshot_2024-05,,high,221,"Музосфера, арт-холл"
19289116,added,,gap_snapshot_2023-12,,medium,76,Служба аварийного вскрытия замков | Студия эпиляции
19293154,added,,gap_snapshot_2024-09,,medium,343,"Dinora_beauty, студия красоты | Студия косметологии"
19293461,added,,gap_snapshot_2023-12,,medium,67,"Другая клиника | Хеликс, лабораторная служба | Wildberries, пункт выдачи товара"
19301026,added,,gap_snapshot_2024-09,,medium,336,"Khakimova lashes, студия красоты | Квадрат 32 Beauty | Kimono style, магазин женской одежды"
19301564,added,,gap_snapshot_2023-12,,high,62,"Продуктовый магазин, Продуктовый магазин"
19303058,added,,gap_snapshot_2023-12,,high,62,"Бери заряд!, станция зарядки телефонов"
19304192,added,,gap_snapshot_2023-12,,high,62,"#Добрыекрышечки, пункт приема мелких партий крышек"
19332408,added,,gap_snapshot_2024-05,,high,197,"Горздрав , аптека"
19332942,added,,gap_snapshot_2024-09,,medium,318,"Casa del ritmo, школа танцев | Back to travel"
19352510,added,,gap_snapshot_2024-05,,high,191,"Хмель&Солод, магазин разливных напитков"
19359234,added,,gap_snapshot_2024-05,,high,178,"Кладовкин, центр хранения вещей"
19363937,added,,gap_snapshot_2024-09,,high,311,"Barberdog, груминг-салон"
19379328,added,,gap_snapshot_2024-09,,medium,299,"Youth shop, магазин одежды | Nail Land, студия маникюра | Nërd, мастерская крафтовой парфюмерии"
19379353,added,,gap_snapshot_2024-05,,medium,177,"Красное&Белое, магазин алкогольных напитков | Box69.ru, склад | Яндекс Лавка, служба доставки продуктов"
19380046,added,,gap_snapshot_2024-10,,medium,330,Торговая компания
19381559,added,,gap_snapshot_2024-09,,high,299,"In white, студия красоты"
19394503,added,,gap_snapshot_2024-09,,high,286,"Винлаб, супермаркет напитков"
19394527,added,,gap_snapshot_2024-05,,medium,169,Мини-маркет
19405844,added,,gap_snapshot_2024-05,,medium,161,"Mango лавка, компания | Berry Present, служба доставки"
18805521,added,,gap_snapshot_2024-10,,high,69,Даровит-Агро
19429720,added,,gap_snapshot_2024-10,,high,274,"Est.Epil White, студия красоты"
19433801,added,,gap_snapshot_2024-05,,medium,105,Ozon | Центр по ремонту бытовой техники
19434238,added,,gap_snapshot_2024-05,,medium,105,Салон-парикмахерская
19435255,added,,gap_snapshot_2024-05,,medium,105,"Sun&City, cолярий-клуб и лаборатория красоты | LuxeGroup"
19462267,added,,gap_snapshot_2024-05,,medium,113,"Добрынинский, продуктовый магазин | А-класс, частная школа"
19464701,added,,gap_snapshot_2024-05,,medium,109,"Дом быта | Авокадо, продуктовый магазин | Адвокатский кабинет"
19468456,added,,gap_snapshot_2024-05,,medium,106,"Атлант, центр спорта и досуга"
19474577,added,,gap_snapshot_2024-05,,high,93,МиГез
19476274,added,,gap_snapshot_2024-10,,high,240,"Wildberries, пункт выдачи товара"
19477772,added,,gap_snapshot_2024-09,,high,213,"Re:books, пункт приёма книг"
19478355,added,,gap_snapshot_2024-05,,high,92,"Zerno, компания"
19479416,added,,gap_snapshot_2024-05,,medium,91,"Авокадо, продуктовый магазин"
19496100,added,,gap_snapshot_2024-05,,medium,78,"Элекснет, платежный терминал | Интерталант, центр сценических искусств | Модель-шоу, модельное агентство"
19504214,added,,gap_snapshot_2024-05,,high,72,Холотропное Дыхание и Расстановки Holotrop Moscow
19513088,added,,gap_snapshot_2024-05,,high,63,"Boxberry, отделение службы доставки"
19513935,added,,gap_snapshot_2024-09,,high,186,"5post, пункт выдачи интернет-заказов"
