lot_id,status,after_days,after_snapshot,confidence,likely_company,dropped
18797178,added,1026,2025-09,medium,"Ozon fresh, служба доставки продуктов","AREA(1029m² vs 5-480): Ozon || AREA(1029m² vs 5-480): Wildberries, пункт выдачи интернет-заказов"
18803323,added,1019,2025-09,medium,"Ventus aqua, зоомагазин | Рокитсофт, компания",
18805470,added,1016,2025-09,medium,Неодром,
18809811,added,1013,2025-09,medium,"София, эконом-парикмахерская | Ozon",
18814084,added,1015,2025-09,medium,"улица Машкова, 21 | Gog, кофейня",
18816523,added,1012,2025-09,medium,"Centr-Estet, стоматологическая клиника | Образ, изостудия | Manki Manik, салон красоты",
18816969,added,1012,2025-09,medium,"Wildberries, пункт выдачи интернет-заказов | Не просто вещь, пункт приема одежды",
18818446,added,1012,2025-09,medium,"Klim, ателье | Key beauty",
18819479,added,1012,2025-09,medium,"Ozon | Авито, пункт выдачи заказов",
18819857,added,1012,2025-09,medium,Ozon | Центр дерматологии и подологии,"IMPLAUSIBLE: Совет пенсионеров, ветеранов войны, труда, вооруженных сил и правоохранительных органов, первичная организация №4 (Общественные / политические организации -> Общественные орга)"
18596549,added,943,2025-09,medium,"Ремонтная мастерская | Бай донер, магазин фастфуда | Чижик, супермаркет",
18829611,added,984,2025-09,medium,"Цыпа Donner | Wildberries, пункт выдачи интернет-заказов",
18833006,added,984,2025-09,medium,"Qlean, пункт приёма химчистки | Просто портной, ателье",
18849466,added,964,2025-09,medium,"Qwestern, компания по организации квестов",
18856198,added,964,2025-09,medium,"Виктория-2000, средняя школа | Альфа Код, студия робототехники",
18884886,added,952,2025-09,medium,"Династия, стоматологическая клиника | Волми-М, продуктовый магазин | Фармленд, аптека",
18884953,added,952,2025-09,medium,"Нотариусы Потемкина В.Д. и Потемкина Ю.А. | Bronzeglow, солярий","AREA(120m² vs 250-6000): Casa del ritmo, школа танцев"
18885556,added,952,2025-09,medium,"Хот Хэд Тату, тату-салон | Титул XXI век, компания","AREA(52m² vs 250-6000): Мегавел, торговая компания"
18888261,added,945,2025-09,medium,"Ozon | Яндекс Маркет, пункт выдачи интернет-заказов | Qlean, пункт приёма химчистки",
18907645,all_filtered,938,2025-09,,,"AREA(623m² vs 5-600): Аптечество, аптечный пункт"
18907838,added,932,2025-09,medium,"Eurospar Express, мини-маркет | Диагностический центр лабораторных исследований Департамента здравоохранения г. Москвы",
18908605,added,930,2025-09,medium,"Solo fiori, онлайн магазин цветов | Точка Дзена, студия массажа",
18908729,added,930,2025-09,medium,"CityMed, медицинский центр | CDEK, служба экспресс-доставки | Adaptogenzz, пункт выдачи заказов",
18908928,added,930,2025-09,medium,"Wildberries, пункт выдачи интернет-заказов | Русоль, соляная пещера для тела, разума и души",
18909405,added,929,2025-09,medium,"Сиртекс-дизайн, оптовая компания | Красное&Белое, продуктовый магазин | Хочу Маникюр, ногтевая студия",
18911448,added,925,2025-09,medium,"Party Dog, студия груминга | Icbt, международная школа бизнес тренеров","IMPLAUSIBLE: Жилищник Пресненского района, ОДС №11 (Жилищно-коммунальные услуги -> Диспетчерские службы)"
18911644,added,925,2025-09,medium,"Бастион, частная охранная организация","IMPLAUSIBLE: Совет ветеранов войны, труда и Вооруженных Сил, первичная организация №3, №8 (Общественные / политические организации -> Общественные орга) || IMPLAUSIBLE: Жилищник Пресненского района, ОДС №3 (Жилищно-коммунальные услуги -> Диспетчерские службы)"
18912335,added,925,2025-09,medium,"Viart, салон красоты | Московский городской центр дезинфекции, филиал Северно-Западного административного округа №1",
18912801,added,925,2025-09,medium,"Wildberries, пункт выдачи интернет-заказов | Авито, пункт выдачи заказов",
18933650,all_filtered,904,2025-09,,,"AREA(235m² vs 5-160): PureSpa, СПА-салон"
18965006,added,890,2025-09,medium,"Wildberries, пункт выдачи товара | Не просто вещь, пункт приема одежды",
18971875,added,886,2025-09,medium,"Сценка, театр-студия | Библиотека №188","IMPLAUSIBLE: Cainiao, постамат (Бытовые услуги -> Постаматы)"
18977911,added,886,2025-09,medium,"Est.Epil White, студия красоты","IMPLAUSIBLE: ОДС №6 (Жилищно-коммунальные услуги -> Диспетчерские службы) || IMPLAUSIBLE: Бери заряд!, станция зарядки телефонов (Средства связи -> Станции зарядки телефонов)"
19007577,added,861,2025-09,medium,"Cosmetic Dent, стоматологическая клиника | Piggy place, антикафе","IMPLAUSIBLE: Совет пенсионеров, ветеранов войны, труда, Вооруженных Сил и правоохранительных органов (Общественные / политические организации -> Общественные орга)"
19009937,added,862,2025-09,medium,"ХуаХун-Русь, торговая компания | Принто",
19019970,added,860,2025-09,low,"Винлаб, супермаркет напитков",
19068435,added,837,2025-09,medium,Delivery play,
19073740,added,830,2025-09,medium,"Beauty club, косметологическая клиника","IMPLAUSIBLE: Жилищник района Марьина Роща, ОДС №1 (Жилищно-коммунальные услуги -> Диспетчерские службы)"
19075311,added,832,2025-09,medium,"Красное&Белое, продуктовый магазин",
19075324,added,832,2025-09,medium,"Проффинансбизнес, холдинговая группа | Кабинет массажиста-реабилитолога | Квант, лофт-пространство",
19075361,added,832,2025-09,medium,"CityMed, медицинский центр | CDEK, служба экспресс-доставки | Adaptogenzz, пункт выдачи заказов",
19076806,added,826,2025-09,medium,Востряковская баня,
19096189,added,818,2025-09,medium,"Lilu nails, маникюрная студия | Ozon","IMPLAUSIBLE: СберЛогистика, постамат (Бытовые услуги -> Постаматы)"
19099633,added,818,2025-09,medium,"2-й Кожевнический переулок, 10/11",
19110958,added,806,2025-09,low,"Марс, подразделение дошкольного образования | Центр ремонта и пошива обуви | Мебельная фабрика Зов, салоны кухонь",
19111202,added,811,2025-09,medium,"Русская ювелирная мастерская | Barberdog, груминг-салон","AREA(145m² vs 250-6000): L. A. B Space, сеть студий растяжки, йоги и фитнеса"
19119207,added,806,2025-09,medium,"1С:Бухобслуживание, ассоциация независимых специалистов","IMPLAUSIBLE: Жилищник района Ясенево, ДДС №10 (Жилищно-коммунальные услуги -> Диспетчерские службы)"
19120972,added,805,2025-09,medium,"Октава, агентство недвижимости",
19129051,added,804,2025-09,medium,"Амоз, стоматологический центр",
19147845,added,790,2025-09,medium,"Pioner Bookstore, книжный магазин",
19148395,added,783,2025-09,medium,"SpringTime, ногтевая студия",
19148816,added,783,2025-09,medium,"Bambini Loft, пространство для детских праздников | Чистый лист",
19151137,added,788,2025-09,medium,"Хот Хэд Тату, тату-салон | Титул XXI век, компания","AREA(128m² vs 250-6000): Мегавел, торговая компания"
19190374,all_filtered,764,2025-09,,,"IMPLAUSIBLE: Жилищник района Бирюлёво Восточное, ОДС №43 (Жилищно-коммунальные услуги -> Диспетчерские службы)"
19193743,added,760,2025-09,medium,"Ригла, аптека | Ак Барс Банк | Красное&Белое, продуктовый магазин",
19195240,added,756,2025-09,medium,"Автохомут | Домбровицкий и партнеры, коллегия адвокатов | Анвс, компания",
19196406,added,760,2025-09,medium,"Фростгрупп, компания",
19199131,added,757,2025-09,medium,"Мт-Каприз, ателье | Креатиff, салон красоты",AREA(68m² vs 250-6000): Меркаба
19223755,added,748,2025-09,medium,"ЭкоПросто, контейнер для сбора блистеров от таблеток",
19225959,added,748,2025-09,medium,"Цветы&букеты, оптово-цветочный магазин | G. Point, студия красоты",
19227646,all_filtered,748,2025-09,,,"AREA(160m² vs 250-6000): Интеллектуальное развитие, досуговый центр || AREA(160m² vs 250-6000): Am Stretching, студия растяжки"
19228388,added,748,2025-09,medium,"Фростгрупп, компания",
19228520,added,748,2025-09,medium,Фирма по ремонту сотовых телефонов,"IMPLAUSIBLE: Яндекс Маркет, постамат (Бытовые услуги -> Постаматы)"
19237127,added,739,2025-09,medium,"Москино Вымпел, кинотеатр | Галерея вымпел, кофейня | Складно, компания",
19255592,added,734,2025-09,medium,"Laguna VIP, клиника косметологии",
19274929,added,720,2025-09,medium,"Dиамант, студия красоты",
19276559,added,720,2025-09,medium,"Народный архитектор, архитектурная компания | Markin Fine jewellery, художественная мастерская","AREA(54m² vs 250-6000): Дом души, ретритный центр"
19293154,added,708,2025-09,medium,"Dinora_beauty, студия красоты | L`Cosmo, студия красоты",
19295426,added,706,2025-09,medium,"Ozon | Wildberries, пункт выдачи интернет-заказов",
19295595,added,706,2025-09,medium,"Геоматика, научно-производственная компания",
19296358,added,706,2025-09,medium,"Буханка, пекарня | Тайрай, SPA-салон",
19301461,added,701,2025-09,medium,Дошкольное отделение,
19301564,added,701,2025-09,medium,"Catharsis Medical Equipment, компания-поставщик косметологического оборудования для салонов красоты | Кабинет мастера татуажа","IMPLAUSIBLE: Участковый пункт полиции №3, Участковый пункт полиции (Правоохранительные органы -> Участковые пункты полиции)"
19304192,added,701,2025-09,medium,"Пятёрочка, супермаркет | Добрые крышечки, пункт приема мелких партий крышек | Экопросто, пункт приёма батареек",
19332942,added,683,2025-09,medium,"Нотариусы Потемкина В.Д. и Потемкина Ю.А. | Bronzeglow, солярий","AREA(37m² vs 250-6000): Casa del ritmo, школа танцев"
19351283,added,678,2025-09,medium,"Место развития, кабинет логопеда",
19358462,added,678,2025-09,medium,ReVoice | Интертэк | Кабинет массажа,
19359234,added,665,2025-09,medium,"Кладовкин, центр хранения вещей",
19363937,added,676,2025-09,medium,"Русская ювелирная мастерская | Barberdog, груминг-салон","AREA(67m² vs 250-6000): L. A. B Space, сеть студий растяжки, йоги и фитнеса"
19364246,added,673,2025-09,medium,"Borodach, барбершоп",
19394527,added,656,2025-09,medium,"Imma, медицинская клиника | Мини-маркет | КосаКраса, студия красоты",
19404050,added,649,2025-09,medium,"Распутин, отель",
18805521,added,403,2025-09,medium,"Ирком, офис | Даровит-Агро",
19429720,added,608,2025-09,medium,"Est.Epil White, студия красоты","IMPLAUSIBLE: ОДС №6 (Жилищно-коммунальные услуги -> Диспетчерские службы) || IMPLAUSIBLE: Бери заряд!, станция зарядки телефонов (Средства связи -> Станции зарядки телефонов)"
19444381,added,606,2025-09,medium,"Куб рейка, торгово-монтажная компания | Aldox",
