номер_лота,площадь_м²,этаж,confidence,source,status,orig_company,new_company,dropped,drop_reasons
19802335,169.1,1,medium,gap_snapshot_2026-02,unchanged,Wildberries | Ozon | 24tort,Wildberries | Ozon | 24tort,,
19802849,579.2,1 этаж,high,gap_snapshot_2026-04,unchanged,Пятёрочка,Пятёрочка,,
19803661,237.5,1,medium,gap_snapshot_2025-09,unchanged,Wildberries | Яндекс Маркет,Wildberries | Яндекс Маркет,,
19803710,59.6,1,medium,gap_snapshot_2026-02,unchanged,Ozon | Магнит,Ozon | Магнит,,
19803713,71.6,1,medium,gap_snapshot_2025-09,unchanged,Красное&Белое | Пятёрочка,Красное&Белое | Пятёрочка,,
19804541,99.3,Подвал,high,gap_snapshot_2026-02,unchanged,Denisov&Gems,Denisov&Gems,,
19805696,111.0,1,medium,gap_snapshot_2026-02,unchanged,StarOptic,StarOptic,,
19806854,53.6,1,medium,gap_snapshot_2025-09,unchanged,Wildberries | Авито | Альвариум,Wildberries | Авито | Альвариум,,
19807013,190.0,1,medium,gap_snapshot_2026-02,unchanged,Ozon | Магнит,Ozon | Магнит,,
19810685,68.4,1,high,gap_snapshot_2025-09,unchanged,Русские инвалиды,Русские инвалиды,,
19810696,74.7,1,high,gap_snapshot_2025-09,unchanged,Русские инвалиды,Русские инвалиды,,
19810699,56.2,1,high,gap_snapshot_2025-09,unchanged,Русские инвалиды,Русские инвалиды,,
19810703,44.5,1,high,gap_snapshot_2025-09,unchanged,Русские инвалиды,Русские инвалиды,,
19810704,51.2,1,high,gap_snapshot_2025-09,unchanged,Русские инвалиды,Русские инвалиды,,
19810705,65.7,1,high,gap_snapshot_2025-09,unchanged,Русские инвалиды,Русские инвалиды,,
19810706,55.9,1,high,gap_snapshot_2025-09,unchanged,Русские инвалиды,Русские инвалиды,,
19810707,35.9,1,high,gap_snapshot_2025-09,unchanged,Русские инвалиды,Русские инвалиды,,
19810708,89.4,1,high,gap_snapshot_2025-09,unchanged,Русские инвалиды,Русские инвалиды,,
19810709,96.2,1,high,gap_snapshot_2025-09,unchanged,Русские инвалиды,Русские инвалиды,,
19810720,104.6,1,medium,gap_snapshot_2026-04,unchanged,Дикси | Автошкола №1,Дикси | Автошкола №1,,
