url,номер_лота,площадь_м²,начальная_цена_руб,цена_за_м²,размер_задатка_руб,шаг_аукциона_руб,итоговая_цена_руб,превышение_цены_%,адрес,кадастровый_номер,метро,этаж,этажность,функциональное_назначение,тип_входа,форма_проведения,год_торгов,статус,дата_начала_приёма,дата_окончания_приёма,дата_отбора_участников,дата_проведения_торгов,дата_подведения_итогов,platformLink,ссылка_на_протокол
https://investmoscow.ru/tenders/tender/19478337,19478337,214.3,19410000.0,90573.96,"1 941 000,00 руб.","485 250,00 руб.",,,"Центральный административный округ, Басманный, улица Земляной Вал, дом 24/32, Подвал № 0",77:01:0001029:3851,Курская (3 мин),Подвал,8,,Вход через места общего пользования,Публичное предложение,2024,Завершено,18.01.2024 20:00:00,20.02.2024 15:00:00,27.02.2024 10:00,29.02.2024 10:00,29.02.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000017907,
https://investmoscow.ru/tenders/tender/19547222,19547222,552.5,27595000.0,49945.7,"2 759 500,00 руб.","689 875,00 руб.","20006375,00",-27.5%,"Южный административный округ, Донской, Загородное шоссе, дом 15, корпус 1, Подвал № 0",77:05:0001015:6595,Крымская (4 мин),Подвал,5,,Вход через места общего пользования,Публичное предложение,2024,Завершено,22.03.2024 20:00:00,07.05.2024 15:00:00,14.05.2024 10:00,16.05.2024 10:00,16.05.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000019014,
https://investmoscow.ru/tenders/tender/19442098,19442098,552.5,27595000.0,49945.7,"2 759 500,00 руб.","1 379 750,00 руб.",,,"Южный административный округ, Донской, Загородное шоссе, дом 15, корпус 1, Подвал № 0",77:05:0001015:6595,Крымская (4 мин),Подвал,5,,Вход через места общего пользования,Открытый аукцион в электронной форме,2024,Завершено,07.12.2023 20:00:00,24.01.2024 15:00:00,31.01.2024 10:00,02.02.2024 10:00,02.02.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000017167,
https://investmoscow.ru/tenders/tender/19639771,19639771,29.6,8956000.0,302567.57,"895 600,00 руб.","447 800,00 руб.","21942200,00",145.0%,"Центральный административный округ, Замоскворечье, Большая Пионерская улица, дом 5, строение 1, Этаж № 2",77:01:0006013:4240,Павелецкая (0 мин),2,2,,Вход через подъезд,Открытый аукцион в электронной форме,2024,Завершено,17.07.2024 20:00:00,20.08.2024 15:00:00,27.08.2024 10:00,29.08.2024 10:00,29.08.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000021698,
https://investmoscow.ru/tenders/tender/19695831,19695831,75.4,9303000.0,123381.96,"930 300,00 руб.","465 150,00 руб.","9303000,00",0.0%,"Юго-Западный административный округ, Южное Бутово, Изюмская улица, дом 37, корпус 2, Этаж № 1",77:06:0012001:9162,Улица Скобелевская (12 мин),1,14,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,01.10.2024 20:00:00,06.11.2024 15:00:00,13.11.2024 10:00,15.11.2024 10:00,15.11.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000023104,
https://investmoscow.ru/tenders/tender/19594010,19594010,101.1,12060900.0,119296.74,"1 206 090,00 руб.","603 045,00 руб.","12060900,00",0.0%,"Юго-Западный административный округ, Южное Бутово, Изюмская улица, дом 37, корпус 2, Этаж № 1",77:06:0012001:9160,Улица Скобелевская (12 мин),1,14,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,23.05.2024 20:00:00,27.06.2024 15:00:00,04.07.2024 10:00,09.07.2024 10:00,09.07.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000020491,
https://investmoscow.ru/tenders/tender/19649468,19649468,88.9,5307000.0,59696.29,"530 700,00 руб.","265 350,00 руб.",,,"Центральный административный округ, Мещанский, Грохольский переулок, дом 8/3, строение 1, Подвал № 0",77:01:0003042:4062,Проспект Мира (6 мин),Подвал,8,,Вход через подъезд,Открытый аукцион в электронной форме,2024,Завершено,31.07.2024 20:00:00,02.09.2024 15:00:00,09.09.2024 10:00,11.09.2024 10:00,11.09.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000021883,
https://investmoscow.ru/tenders/tender/19486946,19486946,46.5,3207000.0,68967.74,"320 700,00 руб.","160 350,00 руб.",,,"Южный административный округ, Даниловский, Дербеневская набережная, дом 1/2, Подвал № 0",77:05:0001001:4784,Пролетарская (16 мин),Подвал,8,,Вход через подъезд,Открытый аукцион в электронной форме,2024,Завершено,25.01.2024 20:00:00,27.02.2024 15:00:00,05.03.2024 10:00,07.03.2024 10:00,07.03.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000018044,
https://investmoscow.ru/tenders/tender/19484289,19484289,78.3,3929000.0,50178.8,"785 800,00 руб.","58 935,00 руб.",,,"Юго-Западный административный округ, Академический, улица Винокурова, дом 10, корпус 1, Подвал №0",77:06:0002013:4307,Академическая (12 мин),Подвал,5,,Вход через подъезд,Публичное предложение,2024,Завершено,26.01.2024 20:00:00,04.03.2024 15:00:00,12.03.2024 10:00,15.03.2024 10:00,15.03.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000018066,
https://investmoscow.ru/tenders/tender/19680502,19680502,160.1,8197000.0,51199.25,"819 700,00 руб.","204 925,00 руб.",,,"Юго-Восточный административный округ, Люблино, Люблинская улица, дом 107/10, Подвал № 0",77:04:0004017:6037,Печатники (17 мин),Подвал,5,,Вход через места общего пользования,Публичное предложение,2024,Завершено,09.09.2024 20:00:00,11.11.2024 15:00:00,18.11.2024 10:00,20.11.2024 10:00,20.11.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000022873,
