url,номер_лота,площадь_м²,начальная_цена_руб,цена_за_м²,размер_задатка_руб,шаг_аукциона_руб,итоговая_цена_руб,превышение_цены_%,адрес,кадастровый_номер,метро,этаж,этажность,функциональное_назначение,тип_входа,форма_проведения,год_торгов,статус,дата_начала_приёма,дата_окончания_приёма,дата_отбора_участников,дата_проведения_торгов,дата_подведения_итогов,platformLink,ссылка_на_протокол
https://investmoscow.ru/tenders/tender/18667714,18667714,248.3,30142742.0,121396.46,"6 028 548,40 руб.","1 507 137,10 руб.",,,"Северо-Восточный административный округ, Северный, аллея. Долгопрудная, дом 15, корпус 5, помещение II, этаж 1",77:02:0025010:1301,Долгопрудная (9 мин),"1 этаж, 1",14,,Отдельный,Открытый аукцион в электронной форме,2023,Завершено,21.07.2022 10:00:00,05.06.2023 15:00:00,09.06.2023 23:59,13.06.2023 10:00,14.06.2023 10:00,https://www.roseltorg.ru/procedure/COM20072200038,
https://investmoscow.ru/tenders/tender/18749192,18749192,246.8,47027744.0,190550.02,"9 405 548,80 руб.","2 351 387,20 руб.","58784680,00",25.0%,"Москва, ул. Вавилова, д. 52, корп. 1, пом. 36н, помещение 36н, этаж 1",77:06:0003001:7417,Академическая (16 мин),1,11,,Отдельный,Открытый аукцион в электронной форме,2023,Завершено,29.09.2022 10:00:00,05.06.2023 15:00:00,09.06.2023 23:59,13.06.2023 10:00,14.06.2023 10:00,https://www.roseltorg.ru/procedure/COM28092200023,
https://investmoscow.ru/tenders/tender/18749361,18749361,152.1,19770985.0,129986.75,"3 954 197,00 руб.","988 549,25 руб.","21748083,50",10.0%,"Москва, ул. Профсоюзная, д. 98, корп. 2, пом. 25н, помещение 25н, этаж 1",77:06:0006003:13260,Беляево (5 мин),1,19,,Отдельный,Открытый аукцион в электронной форме,2023,Завершено,29.09.2022 10:00:00,05.06.2023 15:00:00,09.06.2023 23:59,13.06.2023 10:00,14.06.2023 10:00,https://www.roseltorg.ru/procedure/COM28092200032,
https://investmoscow.ru/tenders/tender/18667545,18667545,244.1,29695327.0,121652.3,"5 939 065,40 руб.","1 484 766,35 руб.",,,"Северо-Восточный административный округ, Северный, город Москва, Долгопрудная аллея, дом 15, корпус 5, Помещение IV, этаж 1",77:02:0025010:1303,Алтуфьево (86 мин),"1 этаж, 1",14,,Отдельный,Открытый аукцион в электронной форме,2023,Завершено,21.07.2022 10:00:00,05.06.2023 15:00:00,09.06.2023 23:59,13.06.2023 10:00,14.06.2023 10:00,https://www.roseltorg.ru/procedure/COM20072200041,
https://investmoscow.ru/tenders/tender/18667474,18667474,160.0,20404551.0,127528.44,"4 080 910,20 руб.","1 020 227,55 руб.",,,"Северо-Восточный административный округ, Северный, город Москва, Долгопрудная аллея, дом 15, корпус 5, Помещение III, этаж 1",77:02:0025010:1302,Алтуфьево (86 мин),"1 этаж, 1",14,,Отдельный,Открытый аукцион в электронной форме,2023,Завершено,21.07.2022 10:00:00,05.06.2023 15:00:00,09.06.2023 23:59,13.06.2023 10:00,14.06.2023 10:00,https://www.roseltorg.ru/procedure/COM20072200039,
https://investmoscow.ru/tenders/tender/19147461,19147461,86.9,11947525.0,137485.9,"500 000,00 руб.","119 475,25 руб.","11947525,00",0.0%,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кузьминки, Жигулёвская улица, дом 3А, корпус 2, этаж 1, пом. 3Н",77:04:0002017:6968,Кузьминки (11 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2023,Завершено,07.07.2023 20:00:00,09.08.2023 15:00:00,10.08.2023 15:00,14.08.2023 10:00,14.08.2023 17:00,https://178fz.roseltorg.ru/#com/procedure/view/procedure/462045,
https://investmoscow.ru/tenders/tender/19147447,19147447,67.6,9294048.0,137485.92,"500 000,00 руб.","92 940,48 руб.",,,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кузьминки, Жигулёвская улица, дом 3А, корпус 2, этаж 1, пом. 2Н",77:04:0002017:6967,Кузьминки (11 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2023,Завершено,07.07.2023 20:00:00,09.08.2023 15:00:00,10.08.2023 15:00,14.08.2023 10:00,14.08.2023 17:00,https://178fz.roseltorg.ru/#com/procedure/view/procedure/462007,
https://investmoscow.ru/tenders/tender/19147472,19147472,72.5,9967728.0,137485.9,"500 000,00 руб.","99 677,28 руб.",,,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кузьминки, Жигулёвская улица, дом 3А, корпус 2, этаж 1, пом. 4Н",77:04:0002017:6969,Кузьминки (11 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2023,Завершено,07.07.2023 20:00:00,09.08.2023 15:00:00,10.08.2023 15:00,14.08.2023 10:00,14.08.2023 17:00,https://178fz.roseltorg.ru/#com/procedure/view/procedure/462047,
https://investmoscow.ru/tenders/tender/19147427,19147427,96.8,13308636.0,137485.91,"500 000,00 руб.","133 086,36 руб.",,,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кузьминки, Жигулёвская улица, дом 3А, корпус 2, этаж 1, пом. 1Н",77:04:0002017:6965,Кузьминки (11 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2023,Завершено,07.07.2023 20:00:00,09.08.2023 15:00:00,10.08.2023 15:00,14.08.2023 10:00,14.08.2023 17:00,https://178fz.roseltorg.ru/#com/procedure/view/procedure/462006,
https://investmoscow.ru/tenders/tender/19062890,19062890,96.8,13308636.0,137485.91,"500 000,00 руб.","133 086,36 руб.",,,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кузьминки, Жигулёвская улица, дом 3А, корпус 2, этаж 1, пом. 1Н",77:04:0002017:6965,Кузьминки (11 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2023,Завершено,04.05.2023 20:00:00,05.06.2023 15:00:00,06.06.2023 15:00,08.06.2023 10:00,08.06.2023 17:00,https://178fz.roseltorg.ru/#com/procedure/view/procedure/448977,
