url,номер_лота,площадь_м²,начальная_цена_руб,цена_за_м²,размер_задатка_руб,шаг_аукциона_руб,итоговая_цена_руб,превышение_цены_%,адрес,кадастровый_номер,метро,этаж,этажность,функциональное_назначение,тип_входа,форма_проведения,год_торгов,статус,дата_начала_приёма,дата_окончания_приёма,дата_отбора_участников,дата_проведения_торгов,дата_подведения_итогов,platformLink,ссылка_на_протокол,latitude,longitude,????????_????????_????,????????_????_????????????
https://investmoscow.ru/tenders/tender/19678982,19678982,536.7,68642000.0,127896.4,"6 864 200,00 руб.","3 432 100,00 руб.","78938300,00",15.0%,"Южный административный округ, Нагатино-Садовники, Варшавское шоссе, дом 47, корпус 4, Этаж № 5","77:05:0004003:9998, 77:05:0004003:10000, 77:05:0004003:9993, 77:05:0004003:10005, 77:05:0004003:10004, 77:05:0004003:10003, 77:05:0004003:9995, 77:05:0004003:9996, 77:05:0004003:9999, 77:05:0004003:9997, 77:05:0004003:9994, 77:05:0004003:10002, 77:05:0004003:10001, 77:05:0004003:8310, 77:05:0004003:8321, 77:05:0004003:8326, 77:05:0004003:8311, 77:05:0004003:8318, 77:05:0004003:8317, 77:05:0004003:8319, 77:05:0004003:8316",Нагатинская (10 мин),5,14.0,,Вход через подъезд,Открытый аукцион в электронной форме,2024,Завершено,05.09.2024 20:00:00,10.10.2024 15:00:00,17.10.2024 10:00,22.10.2024 10:00,22.10.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000022834,,55.679133,37.630122,page,false
https://investmoscow.ru/tenders/tender/19679305,19679305,60.9,10675000.0,175287.36,"500 000,00 руб.","53 375,00 руб.","13717375,00",28.5%,"2-я Владимирская улица, дом 13, корпус 1, этаж 1, пом. 2Н",77:03:0006010:9357,Перово (13 мин),1,24.0,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,17.09.2024 20:00:00,18.10.2024 15:00:00,25.10.2024 15:00,29.10.2024 10:00,29.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz17092400018,,55.7598095,37.7798242,page,false
https://investmoscow.ru/tenders/tender/19679306,19679306,116.2,20109000.0,173055.08,"500 000,00 руб.","100 545,00 руб.","21516630,00",7.0%,"Юго-Восточный административный округ, Кузьминки, Волгоградский проспект, дом 138, корпус 4, этаж 1, пом. 4Н",77:04:0004004:9104,Кузьминки (16 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,17.09.2024 20:00:00,18.10.2024 15:00:00,25.10.2024 15:00,29.10.2024 10:00,29.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz17092400019,,55.700657,37.78616,page,false
https://investmoscow.ru/tenders/tender/19679307,19679307,95.2,16434000.0,172626.05,"500 000,00 руб.","82 170,00 руб.","16927020,00",3.0%,"Юго-Восточный административный округ, Кузьминки, Волгоградский проспект, дом 138, корпус 4, этаж 1, пом. 5Н",77:04:0004004:9105,Кузьминки (16 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,17.09.2024 20:00:00,18.10.2024 15:00:00,25.10.2024 15:00,29.10.2024 10:00,29.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz17092400020,,55.700657,37.78616,page,false
https://investmoscow.ru/tenders/tender/19679308,19679308,131.8,22559000.0,171160.85,"500 000,00 руб.","112 795,00 руб.","38011915,00",68.5%,"Юго-Восточный административный округ, Печатники, Волгоградский проспект, дом 155, этаж 1, пом. 3Н",77:04:0002015:8256,Кузьминки (15 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,17.09.2024 20:00:00,18.10.2024 15:00:00,25.10.2024 15:00,29.10.2024 10:00,29.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz17092400021,,55.70381,37.783917,page,false
https://investmoscow.ru/tenders/tender/19679310,19679310,58.5,11375755.0,194457.35,"500 000,00 руб.","56 878,78 руб.","20135087,12",77.0%,"Северо-Восточный административный округ, Останкинский, улица Годовикова, дом 10, этаж 1, пом. 13Н",77:02:0022015:7660,Алексеевская (6 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,17.09.2024 20:00:00,18.10.2024 15:00:00,25.10.2024 15:00,29.10.2024 10:00,29.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz17092400022,,55.806629,37.632229,page,false
https://investmoscow.ru/tenders/tender/19679320,19679320,56.9,11950128.0,210019.82,"500 000,00 руб.","59 750,64 руб.","17208184,32",44.0%,"Северо-Восточный административный округ, Останкинский, улица Годовикова, дом 10, этаж 1, пом. 19Н",77:02:0022015:7667,Алексеевская (6 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,17.09.2024 20:00:00,18.10.2024 15:00:00,25.10.2024 15:00,29.10.2024 10:00,29.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz17092400003,,55.806629,37.632229,page,false
https://investmoscow.ru/tenders/tender/19679321,19679321,102.8,23613000.0,229698.44,"500 000,00 руб.","118 065,00 руб.","55136355,00",133.5%,"Северо-Восточный административный округ, Южное Медведково, проезд Дежнёва, дом 32, этаж 1, пом. 1Н",77:02:0006002:17005,Отрадное (22 мин),1,16.0,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,17.09.2024 20:00:00,18.10.2024 15:00:00,25.10.2024 15:00,29.10.2024 10:00,29.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz17092400004,,55.870899,37.632585,page,false
https://investmoscow.ru/tenders/tender/19679323,19679323,59.6,15218000.0,255335.57,"500 000,00 руб.","76 090,00 руб.","15370180,00",1.0%,"Южный административный округ, Даниловский, Дубининская улица, дом 69А, этаж 1, пом. 2Н",77:05:0001003:2924,Тульская (13 мин),1,19.0,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,17.09.2024 20:00:00,18.10.2024 15:00:00,25.10.2024 15:00,29.10.2024 10:00,29.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz17092400005,,55.7129934,37.6337486,page,false
https://investmoscow.ru/tenders/tender/19679325,19679325,72.4,17890000.0,247099.45,"500 000,00 руб.","89 450,00 руб.","34080450,00",90.5%,"Южный административный округ, Даниловский, Дубининская улица, дом 69А, этаж 1, пом. 5Н",77:05:0001003:2927,Тульская (13 мин),1,19.0,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,17.09.2024 20:00:00,18.10.2024 15:00:00,25.10.2024 15:00,29.10.2024 10:00,29.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz17092400006,,55.7129934,37.6337486,page,false
