url,номер_лота,площадь_м²,начальная_цена_руб,цена_за_м²,размер_задатка_руб,шаг_аукциона_руб,итоговая_цена_руб,превышение_цены_%,адрес,кадастровый_номер,метро,этаж,этажность,функциональное_назначение,тип_входа,форма_проведения,год_торгов,статус,дата_начала_приёма,дата_окончания_приёма,дата_отбора_участников,дата_проведения_торгов,дата_подведения_итогов,platformLink,ссылка_на_протокол,latitude,longitude,????????_????????_????,????????_????_????????????,есть_протокол_отказа,?????_??????????
https://investmoscow.ru/tenders/tender/19678422,19678422,89.3,21894000.0,245173.57,"500 000,00 руб.","109 470,00 руб.",36672450.0,67.5%,"Восточный административный округ, Гольяново, Амурская улица, дом 1, корпус 1, этаж 1, пом. 5Н",77:03:0002007:9408,Локомотив (24 мин),1,24.0,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,16.09.2024 20:00:00,17.10.2024 15:00:00,24.10.2024 15:00,28.10.2024 10:00,28.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz16092400004,,55.806116,37.750207,page,False,,False
https://investmoscow.ru/tenders/tender/19678423,19678423,101.3,24349000.0,240365.25,"500 000,00 руб.","121 745,00 руб.",32384170.0,33.0%,"Восточный административный округ, Гольяново, Амурская улица, дом 1, корпус 1, этаж 1, пом. 6Н",77:03:0002007:9409,Локомотив (24 мин),1,24.0,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,16.09.2024 20:00:00,17.10.2024 15:00:00,24.10.2024 15:00,28.10.2024 10:00,28.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz16092400006,,55.806116,37.750207,page,False,,False
https://investmoscow.ru/tenders/tender/19678424,19678424,131.3,21337000.0,162505.71,"500 000,00 руб.","106 685,00 руб.",52595705.0,146.5%,"Северный административный округ, Бескудниковский, Бескудниковский бульвар, дом 52, этаж 1, пом. 4Н",77:09:0002021:6942,Селигерская (13 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,16.09.2024 20:00:00,17.10.2024 15:00:00,24.10.2024 15:00,28.10.2024 10:00,28.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz16092400007,,55.8740189,37.5385032,page,False,,False
https://investmoscow.ru/tenders/tender/19678482,19678482,73.4,12337710.0,168088.69,"500 000,00 руб.","61 688,55 руб.",22084500.9,79.0%,"Юго-Западный административный округ, Коньково, улица Введенского, дом 5, этаж 1, пом. 12Н",77:06:0008005:6463,Калужская (19 мин),1,17.0,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,16.09.2024 20:00:00,17.10.2024 15:00:00,24.10.2024 15:00,28.10.2024 10:00,28.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz16092400013,,55.644251,37.544559,page,False,,False
https://investmoscow.ru/tenders/tender/19678483,19678483,98.1,16489501.0,168088.7,"500 000,00 руб.","82 447,50 руб.",27455019.83,66.5%,"Юго-Западный административный округ, Коньково, улица Введенского, дом 5, этаж 1, пом. 13Н",77:06:0008005:6464,Калужская (19 мин),1,17.0,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,16.09.2024 20:00:00,17.10.2024 15:00:00,24.10.2024 15:00,28.10.2024 10:00,28.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz16092400022,,55.644251,37.544559,page,False,,False
https://investmoscow.ru/tenders/tender/19678484,19678484,52.5,9530896.0,181540.88,"500 000,00 руб.","47 654,48 руб.",18251665.84,91.5%,"Юго-Западный административный округ, Коньково, улица Введенского, дом 5, этаж 1, пом. 14Н",77:06:0008005:6465,Калужская (19 мин),1,17.0,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,16.09.2024 20:00:00,17.10.2024 15:00:00,24.10.2024 15:00,28.10.2024 10:00,28.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz16092400014,,55.644251,37.544559,page,False,,False
https://investmoscow.ru/tenders/tender/19678757,19678757,102.4,8850000.0,86425.78,"885 000,00 руб.","442 500,00 руб.",16372500.0,85.0%,"Восточный административный округ, Новогиреево, Зелёный проспект, дом 60/35, Подвал № 0",77:03:0006021:1206,Новогиреево (2 мин),Подвал,9.0,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,06.09.2024 20:00:00,10.10.2024 15:00:00,17.10.2024 10:00,22.10.2024 10:00,22.10.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000022859,,55.7502659,37.8179264,page,False,,False
https://investmoscow.ru/tenders/tender/19678821,19678821,153.0,23954000.0,156562.09,"2 395 400,00 руб.","1 197 700,00 руб.",27547100.0,15.0%,"Северо-Западный административный округ, Щукино, улица Расплетина, дом 4, корпус 1, Этаж № 2, помещение 322",77:08:0009030:1794,Октябрьское поле (12 мин),2,5.0,,Вход через места общего пользования,Открытый аукцион в электронной форме,2024,Завершено,04.09.2024 20:00:00,07.10.2024 15:00:00,14.10.2024 10:00,16.10.2024 10:00,16.10.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000022830,,55.789865,37.480687,page,False,,False
https://investmoscow.ru/tenders/tender/19678982,19678982,536.7,68642000.0,127896.4,"6 864 200,00 руб.","3 432 100,00 руб.",78938300.0,15.0%,"Южный административный округ, Нагатино-Садовники, Варшавское шоссе, дом 47, корпус 4, Этаж № 5","77:05:0004003:9998, 77:05:0004003:10000, 77:05:0004003:9993, 77:05:0004003:10005, 77:05:0004003:10004, 77:05:0004003:10003, 77:05:0004003:9995, 77:05:0004003:9996, 77:05:0004003:9999, 77:05:0004003:9997, 77:05:0004003:9994, 77:05:0004003:10002, 77:05:0004003:10001, 77:05:0004003:8310, 77:05:0004003:8321, 77:05:0004003:8326, 77:05:0004003:8311, 77:05:0004003:8318, 77:05:0004003:8317, 77:05:0004003:8319, 77:05:0004003:8316",Нагатинская (10 мин),5,14.0,,Вход через подъезд,Открытый аукцион в электронной форме,2024,Завершено,05.09.2024 20:00:00,10.10.2024 15:00:00,17.10.2024 10:00,22.10.2024 10:00,22.10.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000022834,,55.679133,37.630122,page,False,,False
https://investmoscow.ru/tenders/tender/19679305,19679305,60.9,10675000.0,175287.36,"500 000,00 руб.","53 375,00 руб.",13717375.0,28.5%,"2-я Владимирская улица, дом 13, корпус 1, этаж 1, пом. 2Н",77:03:0006010:9357,Перово (13 мин),1,24.0,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,17.09.2024 20:00:00,18.10.2024 15:00:00,25.10.2024 15:00,29.10.2024 10:00,29.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz17092400018,,55.7598095,37.7798242,page,False,,False
https://investmoscow.ru/tenders/tender/19679306,19679306,116.2,20109000.0,173055.08,"500 000,00 руб.","100 545,00 руб.",21516630.0,7.0%,"Юго-Восточный административный округ, Кузьминки, Волгоградский проспект, дом 138, корпус 4, этаж 1, пом. 4Н",77:04:0004004:9104,Кузьминки (16 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,17.09.2024 20:00:00,18.10.2024 15:00:00,25.10.2024 15:00,29.10.2024 10:00,29.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz17092400019,,55.700657,37.78616,page,False,,False
https://investmoscow.ru/tenders/tender/19679307,19679307,95.2,16434000.0,172626.05,"500 000,00 руб.","82 170,00 руб.",16927020.0,3.0%,"Юго-Восточный административный округ, Кузьминки, Волгоградский проспект, дом 138, корпус 4, этаж 1, пом. 5Н",77:04:0004004:9105,Кузьминки (16 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,17.09.2024 20:00:00,18.10.2024 15:00:00,25.10.2024 15:00,29.10.2024 10:00,29.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz17092400020,,55.700657,37.78616,page,False,,False
https://investmoscow.ru/tenders/tender/19679308,19679308,131.8,22559000.0,171160.85,"500 000,00 руб.","112 795,00 руб.",38011915.0,68.5%,"Юго-Восточный административный округ, Печатники, Волгоградский проспект, дом 155, этаж 1, пом. 3Н",77:04:0002015:8256,Кузьминки (15 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,17.09.2024 20:00:00,18.10.2024 15:00:00,25.10.2024 15:00,29.10.2024 10:00,29.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz17092400021,,55.70381,37.783917,page,False,,False
https://investmoscow.ru/tenders/tender/19679310,19679310,58.5,11375755.0,194457.35,"500 000,00 руб.","56 878,78 руб.",20135087.12,77.0%,"Северо-Восточный административный округ, Останкинский, улица Годовикова, дом 10, этаж 1, пом. 13Н",77:02:0022015:7660,Алексеевская (6 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,17.09.2024 20:00:00,18.10.2024 15:00:00,25.10.2024 15:00,29.10.2024 10:00,29.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz17092400022,,55.806629,37.632229,page,False,,False
https://investmoscow.ru/tenders/tender/19679320,19679320,56.9,11950128.0,210019.82,"500 000,00 руб.","59 750,64 руб.",17208184.32,44.0%,"Северо-Восточный административный округ, Останкинский, улица Годовикова, дом 10, этаж 1, пом. 19Н",77:02:0022015:7667,Алексеевская (6 мин),1,,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,17.09.2024 20:00:00,18.10.2024 15:00:00,25.10.2024 15:00,29.10.2024 10:00,29.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz17092400003,,55.806629,37.632229,page,False,,False
https://investmoscow.ru/tenders/tender/19679321,19679321,102.8,23613000.0,229698.44,"500 000,00 руб.","118 065,00 руб.",55136355.0,133.5%,"Северо-Восточный административный округ, Южное Медведково, проезд Дежнёва, дом 32, этаж 1, пом. 1Н",77:02:0006002:17005,Отрадное (22 мин),1,16.0,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,17.09.2024 20:00:00,18.10.2024 15:00:00,25.10.2024 15:00,29.10.2024 10:00,29.10.2024 17:00,https://www.roseltorg.ru/procedure/178fz17092400004,,55.870899,37.632585,page,False,,False
