url,номер_лота,platformLink,ссылка_на_протокол,год_торгов,форма_проведения,статус,адрес,метро,кадастровый_номер,latitude,longitude,площадь_м²,этаж,этажность,функциональное_назначение,тип_входа,начальная_цена_руб,итоговая_цена_руб,превышение_цены_%,цена_за_м²,размер_задатка_руб,шаг_аукциона_руб,дата_начала_приёма,дата_окончания_приёма,дата_отбора_участников,дата_проведения_торгов,дата_подведения_итогов,address_norm,match_before_snapshot_label,match_after_snapshot_label,match_before_company_count,match_after_company_count,match_new_company_count,match_after_days,match_time_window,likely_company,likely_usage,match_confidence,company_candidates_preview,usage_candidates_preview
https://investmoscow.ru/tenders/tender/19560164,19560164,https://www.roseltorg.ru/procedure/21000005000000019306,,2024,Открытый аукцион в электронной форме,Завершено,"Северо-Восточный административный округ, Северный, 1-я Северная линия, дом 18, Этаж 1",Алтуфьево (77 мин),"77:02:0025008:1750, 77:02:0025008:1752, 77:02:0025008:1751, 77:02:0025008:1748, 77:02:0025008:2396, 77:02:0025008:2395, 77:02:0025008:2394",55.943312,37.556114,293.0,1 этаж,1.0,,Отдельный,11936000.0,16113600.0,35.0%,40737.2,"2 387 200,00 руб.","596 800,00 руб.",05.04.2024 20:00:00,13.05.2024 15:00:00,20.05.2024 10:00,23.05.2024 10:00,23.05.2024 17:00,1 я северная линия 18,,,,,,,,,,,,
https://investmoscow.ru/tenders/tender/19560679,19560679,https://www.roseltorg.ru/procedure/21000005000000019599,,2024,Открытый аукцион в электронной форме,Завершено,"Юго-Восточный административный округ, Некрасовка, улица Маршала Ерёменко, дом 3, корпус 3, этаж 1, помещение 8Н",Некрасовка (21 мин),77:16:0010105:28471,55.711306,37.947748,68.8,1,17.0,,Отдельный,10014700.0,10014700.0,0.0%,145562.5,"2 002 940,00 руб.","500 735,00 руб.",17.04.2024 10:00:00,08.10.2024 15:00:00,15.10.2024 10:00,16.10.2024 10:00,17.10.2024 10:00,улица маршала еременко 3 корп 3,,,,,,,,,,,,
https://investmoscow.ru/tenders/tender/19561063,19561063,https://www.roseltorg.ru/procedure/21000005000000019310,,2024,Открытый аукцион в электронной форме,Завершено,"Восточный административный округ, Северное Измайлово, Никитинская улица, дом 25, корпус 1, Подвал № 0",Щёлковская (23 мин),77:03:0005002:7790,55.8033833,37.7740083,239.8,Подвал,5.0,,Отдельный,13710000.0,13710000.0,0.0%,57172.64,"1 371 000,00 руб.","685 500,00 руб.",05.04.2024 20:00:00,10.06.2024 15:00:00,17.06.2024 10:00,19.06.2024 10:00,19.06.2024 17:00,никитинская улица 25 корп 1,,,,,,,,,,,,
https://investmoscow.ru/tenders/tender/19561071,19561071,https://www.roseltorg.ru/procedure/21000005000000019586,,2024,Открытый аукцион в электронной форме,Завершено,"Юго-Восточный административный округ, Некрасовка, улица Маршала Ерёменко, дом 3, корпус 1, этаж 1, помещение 2Н",Некрасовка (19 мин),77:16:0010105:28613,55.71017,37.945439,70.7,1,17.0,,Отдельный,9570900.0,15791985.0,65.0%,135373.41,"1 914 180,00 руб.","478 545,00 руб.",17.04.2024 10:00:00,08.10.2024 15:00:00,15.10.2024 10:00,16.10.2024 10:00,17.10.2024 10:00,улица маршала еременко 3 корп 1,,,,,,,,,,,,
https://investmoscow.ru/tenders/tender/19561079,19561079,https://www.roseltorg.ru/procedure/21000005000000019587,,2024,Открытый аукцион в электронной форме,Завершено,"Юго-Восточный административный округ, Некрасовка, улица Маршала Ерёменко, дом 3, корпус 1, этаж 1, помещение 3Н",Некрасовка (19 мин),77:16:0010105:28614,55.7103664723,37.9453789069,68.4,1,17.0,,Отдельный,9259500.0,11111400.0,20.0%,135372.81,"1 851 900,00 руб.","462 975,00 руб.",17.04.2024 10:00:00,08.10.2024 15:00:00,15.10.2024 10:00,16.10.2024 10:00,17.10.2024 10:00,улица маршала еременко 3 корп 1,,,,,,,,,,,,
https://investmoscow.ru/tenders/tender/19561092,19561092,https://www.roseltorg.ru/procedure/21000005000000019588,,2024,Открытый аукцион в электронной форме,Завершено,"Юго-Восточный административный округ, Некрасовка, улица Маршала Ерёменко, дом 3, корпус 1, этаж 1, помещение 4Н",Некрасовка (19 мин),77:16:0010105:28615,55.71017,37.945439,95.1,1,17.0,,Отдельный,12296500.0,14140975.0,15.0%,129300.74,"2 459 300,00 руб.","614 825,00 руб.",17.04.2024 10:00:00,08.10.2024 15:00:00,15.10.2024 10:00,16.10.2024 10:00,17.10.2024 10:00,улица маршала еременко 3 корп 1,,,,,,,,,,,,
https://investmoscow.ru/tenders/tender/19561105,19561105,https://www.roseltorg.ru/procedure/21000005000000019590,,2024,Открытый аукцион в электронной форме,Завершено,"Юго-Восточный административный округ, Некрасовка, улица Маршала Ерёменко, дом 3, корпус 3, этаж 1, помещение 6Н",Некрасовка (21 мин),77:16:0010105:28469,55.711306,37.947748,97.0,1,17.0,,Отдельный,13486100.0,13486100.0,0.0%,139031.96,"2 697 220,00 руб.","674 305,00 руб.",17.04.2024 10:00:00,20.05.2024 15:00:00,24.05.2024 10:00,28.05.2024 10:00,29.05.2024 10:00,улица маршала еременко 3 корп 3,,,,,,,,,,,,
https://investmoscow.ru/tenders/tender/19561126,19561126,https://www.roseltorg.ru/procedure/21000005000000019323,,2024,Открытый аукцион в электронной форме,Завершено,"Северо-Восточный административный округ, Останкинский, улица Бочкова, дом 5, Подвал № 0",Алексеевская (7 мин),77:02:0022014:3581,55.810106,37.633117,25.2,Подвал,9.0,,Отдельный,2840000.0,2840000.0,0.0%,112698.41,"284 000,00 руб.","142 000,00 руб.",08.04.2024 20:00:00,10.06.2024 15:00:00,17.06.2024 10:00,19.06.2024 10:00,19.06.2024 17:00,улица бочкова 5,2021-10,2025-09,0.0,3.0,3.0,468.0,first_after_snapshot_2025-09,"Центр гигиены и эпидемиологии г. Москвы, Отделение санитарной бактериологии микробиологической лаборатории | Тайрай, SPA-салон | Кьюбит Технолоджи","Медицинские учреждения -> Санитарно-эпидемиологические исследования | Красота / Здоровье -> SPA-процедуры, Массажист, Тонизирующие салоны | Интернет -> IT-компании",medium,"Центр гигиены и эпидемиологии г. Москвы, Отделение санитарной бактериологии микробиологической лаборатории | Тайрай, SPA-салон | Кьюбит Технолоджи","Медицинские учреждения -> Санитарно-эпидемиологические исследования | Красота / Здоровье -> SPA-процедуры, Массажист, Тонизирующие салоны | Интернет -> IT-компании"
https://investmoscow.ru/tenders/tender/19561127,19561127,https://www.roseltorg.ru/procedure/21000005000000019591,,2024,Открытый аукцион в электронной форме,Завершено,"Юго-Восточный административный округ, Некрасовка, улица Маршала Ерёменко, дом 3, корпус 3, этаж 1, помещение 12Н",Некрасовка (21 мин),77:16:0010105:28475,55.711306,37.947748,72.0,1,17.0,,Отдельный,10375700.0,15044765.0,45.0%,144106.94,"2 075 140,00 руб.","518 785,00 руб.",17.04.2024 10:00:00,08.10.2024 15:00:00,15.10.2024 10:00,16.10.2024 10:00,17.10.2024 10:00,улица маршала еременко 3 корп 3,,,,,,,,,,,,
https://investmoscow.ru/tenders/tender/19561134,19561134,https://www.roseltorg.ru/procedure/21000005000000019592,,2024,Открытый аукцион в электронной форме,Завершено,"Юго-Восточный административный округ, Некрасовка, улица Маршала Ерёменко, дом 3, корпус 3, этаж 1, помещение 14Н",Некрасовка (21 мин),77:16:0010105:28477,55.711306,37.947748,68.6,1,17.0,,Отдельный,9985600.0,10484880.0,5.0%,145562.68,"1 997 120,00 руб.","499 280,00 руб.",17.04.2024 10:00:00,08.10.2024 15:00:00,15.10.2024 10:00,16.10.2024 10:00,17.10.2024 10:00,улица маршала еременко 3 корп 3,,,,,,,,,,,,
https://investmoscow.ru/tenders/tender/19561163,19561163,https://www.roseltorg.ru/procedure/21000005000000019628,,2024,Открытый аукцион в электронной форме,Завершено,"Юго-Восточный административный округ, Некрасовка, улица Маресьева, дом 12, корпус 3, этаж 1, помещение 2Н",Некрасовка (20 мин),77:16:0010105:32120,55.713162,37.942775,88.1,1,17.0,,Отдельный,11510600.0,13237190.0,15.0%,130653.8,"2 302 120,00 руб.","575 530,00 руб.",17.04.2024 10:00:00,19.06.2024 15:00:00,26.06.2024 10:00,27.06.2024 10:00,28.06.2024 10:00,улица маресьева 12 корп 3,,,,,,,,,,,,
https://investmoscow.ru/tenders/tender/19561171,19561171,https://www.roseltorg.ru/procedure/21000005000000019632,,2024,Открытый аукцион в электронной форме,Завершено,"Юго-Восточный административный округ, Некрасовка, улица Маресьева, дом 12, корпус 3, этаж 1, помещение 12Н",Некрасовка (20 мин),77:16:0010105:32130,55.713162,37.942775,109.0,1,17.0,,Отдельный,13870400.0,14563920.0,5.0%,127251.38,"2 774 080,00 руб.","693 520,00 руб.",17.04.2024 10:00:00,16.12.2024 15:00:00,23.12.2024 10:00,24.12.2024 10:00,25.12.2024 10:00,улица маресьева 12 корп 3,,,,,,,,,,,,
https://investmoscow.ru/tenders/tender/19561176,19561176,https://www.roseltorg.ru/procedure/21000005000000019585,,2024,Открытый аукцион в электронной форме,Завершено,"Юго-Восточный административный округ, Некрасовка, улица Маршала Ерёменко, дом 3, корпус 1, этаж 1, помещение 1Н",Некрасовка (19 мин),77:16:0010105:28612,55.71017,37.945439,58.2,1,17.0,,nsi:1032:1032004,8036300.0,11250820.0,40.0%,138080.76,"1 607 260,00 руб.","401 815,00 руб.",17.04.2024 10:00:00,08.10.2024 15:00:00,15.10.2024 10:00,16.10.2024 10:00,17.10.2024 10:00,улица маршала еременко 3 корп 1,,,,,,,,,,,,
https://investmoscow.ru/tenders/tender/19562116,19562116,https://www.roseltorg.ru/procedure/21000005000000019316,,2024,Открытый аукцион в электронной форме,Завершено,"Юго-Восточный административный округ, Марьино, Марьинский бульвар, дом 7, Этаж № 1",Марьино (8 мин),77:04:0004026:18135,55.649688,37.753824,74.7,1,1.0,,Вход через подъезд,11944000.0,11944000.0,0.0%,159892.9,"1 194 400,00 руб.","597 200,00 руб.",08.04.2024 20:00:00,10.06.2024 15:00:00,17.06.2024 10:00,19.06.2024 10:00,19.06.2024 17:00,марьинский бульвар 7,2024-09,2024-10,,1,1,,,,,,,
https://investmoscow.ru/tenders/tender/19562275,19562275,https://www.roseltorg.ru/procedure/21000005000000019321,,2024,Открытый аукцион в электронной форме,Завершено,"Центральный административный округ, Красносельский, Краснопрудная улица, дом 22-24, Подвал № 0",Красносельская (2 мин),77:01:0003031:2087,55.7786835,37.6653949,90.4,Подвал,8.0,,Вход через места общего пользования,12765000.0,15956250.0,25.0%,141205.75,"1 276 500,00 руб.","638 250,00 руб.",08.04.2024 20:00:00,22.05.2024 15:00:00,29.05.2024 10:00,31.05.2024 10:00,31.05.2024 17:00,краснопрудная улица 22 24,2024-05,2024-09,,3,3,122,gap_snapshot_2024-09,"Aurum, ломбард | TechSkin | Coffee Moments","Банковские / финансовые услуги -> Ломбарды | Средства связи -> Аксессуары к телефонам, Запчасти к телефонам, Ремонт телефонов | Общественное питание, Продукты питания -> Кондитерские изделия, Кофейни",medium,"Aurum, ломбард | TechSkin | Coffee Moments","Банковские / финансовые услуги -> Ломбарды | Средства связи -> Аксессуары к телефонам, Запчасти к телефонам, Ремонт телефонов | Общественное питание, Продукты питания -> Кондитерские изделия, Кофейни"
https://investmoscow.ru/tenders/tender/19562276,19562276,https://www.roseltorg.ru/procedure/21000005000000019627,,2024,Открытый аукцион в электронной форме,Завершено,"Юго-Восточный административный округ, Некрасовка, улица Маресьева, дом 12, корпус 2, этаж 1, помещение 3Н",Некрасовка (21 мин),77:16:0010105:31980,55.714116,37.942545,50.6,1,17.0,,Отдельный,7660100.0,8809115.0,15.0%,151385.38,"1 532 020,00 руб.","383 005,00 руб.",17.04.2024 10:00:00,16.12.2024 15:00:00,23.12.2024 10:00,24.12.2024 10:00,25.12.2024 10:00,улица маресьева 12 корп 2,,,,,,,,,,,,
https://investmoscow.ru/tenders/tender/19562279,19562279,https://www.roseltorg.ru/procedure/21000005000000019630,,2024,Открытый аукцион в электронной форме,Завершено,"Юго-Восточный административный округ, Некрасовка, улица Маресьева, дом 12, корпус 2, этаж 1, помещение 7Н",Некрасовка (21 мин),77:16:0010105:31984,55.714116,37.942545,94.6,1,17.0,,Отдельный,13219500.0,13219500.0,0.0%,139741.01,"2 643 900,00 руб.","660 975,00 руб.",17.04.2024 10:00:00,08.10.2024 15:00:00,15.10.2024 10:00,16.10.2024 10:00,17.10.2024 10:00,улица маресьева 12 корп 2,,,,,,,,,,,,
https://investmoscow.ru/tenders/tender/19562287,19562287,https://www.roseltorg.ru/procedure/21000005000000019626,,2024,Открытый аукцион в электронной форме,Завершено,"Юго-Восточный административный округ, Некрасовка, улица Маресьева, дом 12, корпус 2, этаж 1, помещение 12Н",Некрасовка (21 мин),77:16:0010105:31989,55.714116,37.942545,49.7,1,17.0,,Отдельный,7559000.0,12472350.0,65.0%,152092.56,"1 511 800,00 руб.","377 950,00 руб.",17.04.2024 10:00:00,16.12.2024 15:00:00,23.12.2024 10:00,24.12.2024 10:00,25.12.2024 10:00,улица маресьева 12 корп 2,,,,,,,,,,,,
https://investmoscow.ru/tenders/tender/19562629,19562629,https://www.roseltorg.ru/procedure/21000005000000019331,,2024,Открытый аукцион в электронной форме,Завершено,"Северный административный округ, Сокол, Ленинградский проспект, дом 75, корпус 1Б, этаж 1,",Сокол (5 мин),77:09:0005002:10789,55.80483,37.510502,106.1,1,10.0,,Отдельный,45881000.0,45881000.0,0.0%,432431.67,"4 588 100,00 руб.","2 294 050,00 руб.",08.04.2024 20:00:00,10.06.2024 15:00:00,17.06.2024 10:00,19.06.2024 10:00,19.06.2024 17:00,ленинградский проспект 75 корп 1б,,,,,,,,,,,,
https://investmoscow.ru/tenders/tender/19562657,19562657,https://www.roseltorg.ru/procedure/21000005000000019332,,2024,Открытый аукцион в электронной форме,Завершено,"Северо-Восточный административный округ, Останкинский, улица Академика Королёва, дом 4, корпус 1, Этаж № 1",Улица Академика Королёва ( мин),77:02:0022001:1178,55.82305,37.629495,35.4,1,22.0,,Вход через подъезд,5341000.0,10414950.0,95.0%,150875.71,"534 100,00 руб.","267 050,00 руб.",08.04.2024 20:00:00,20.05.2024 15:00:00,27.05.2024 10:00,29.05.2024 10:00,29.05.2024 17:00,улица академика королева 4 корп 1,,,,,,,,,,,,
https://investmoscow.ru/tenders/tender/19563687,19563687,https://www.roseltorg.ru/procedure/21000005000000019412,,2024,Открытый аукцион в электронной форме,Завершено,"Восточный административный округ, Сокольники, Егерская улица, дом 1, Подвал № 0",Сокольники (6 мин),77:03:0003009:4840,55.792967,37.6829283,879.8,Подвал,16.0,,Отдельный,35730000.0,35730000.0,0.0%,40611.5,"3 573 000,00 руб.","1 786 500,00 руб.",09.04.2024 20:00:00,22.05.2024 15:00:00,29.05.2024 10:00,31.05.2024 10:00,31.05.2024 17:00,егерская улица 1,2024-05,2024-09,,1,1,,,,,,,
https://investmoscow.ru/tenders/tender/19563959,19563959,https://www.roseltorg.ru/procedure/21000005000000019419,,2024,Открытый аукцион в электронной форме,Завершено,"Западный административный округ, Филевский парк, Новозаводская улица, дом 17, корпус 1, Подвал № 0",Фили (12 мин),77:07:0002004:1643,55.7514204,37.5054451,34.8,Подвал,4.0,,Вход через места общего пользования,1891000.0,1891000.0,0.0%,54339.08,"189 100,00 руб.","94 550,00 руб.",09.04.2024 20:00:00,22.05.2024 15:00:00,29.05.2024 10:00,31.05.2024 10:00,31.05.2024 17:00,новозаводская улица 17 корп 1,,,,,,,,,,,,
https://investmoscow.ru/tenders/tender/19563982,19563982,https://www.roseltorg.ru/procedure/21000005000000019420,,2024,Открытый аукцион в электронной форме,Завершено,"Западный административный округ, Филевский парк, Новозаводская улица, дом 17, корпус 1, Подвал № 0",Фили (12 мин),77:07:0002004:1644,55.7514204,37.5054451,82.5,Подвал,4.0,,Вход через места общего пользования,4093000.0,4093000.0,0.0%,49612.12,"409 300,00 руб.","204 650,00 руб.",09.04.2024 20:00:00,22.05.2024 15:00:00,29.05.2024 10:00,31.05.2024 10:00,31.05.2024 17:00,новозаводская улица 17 корп 1,,,,,,,,,,,,
https://investmoscow.ru/tenders/tender/19565111,19565111,https://www.roseltorg.ru/procedure/21000005000000019440,,2024,Открытый аукцион в электронной форме,Завершено,"Центральный административный округ, Пресненский, Рочдельская улица, дом 26/28, строение 4, пом. 2/П,
подвал № 0.",Улица 1905 года (11 мин),77:01:0004031:2508,55.7574212,37.5621017,68.9,Подвал,5.0,,Вход через подъезд,5315400.0,8504640.0,60.0%,77146.59,"531 540,00 руб.","265 770,00 руб.",10.04.2024 20:00:00,20.05.2024 15:00:00,27.05.2024 10:00,29.05.2024 10:00,29.05.2024 17:00,рочдельская улица 26/28 стр 4 помещение 2/п,,,,,,,,,,,,
https://investmoscow.ru/tenders/tender/19566566,19566566,https://www.roseltorg.ru/procedure/178fz23042400001,,2024,Открытый аукцион в электронной форме,Завершено,"г. Москва, ул. Академика Скрябина, дом 3/1, корп. 1, этаж 1, пом. 1Н",Рязанский проспект (10 мин),77:04:0002013:14510,55.712409,37.803657,59.0,1,,,Отдельный,8389429.0,16023809.39,91.0%,142193.71,"500 000,00 руб.","83 894,29 руб.",23.04.2024 20:00:00,24.05.2024 15:00:00,31.05.2024 15:00,04.06.2024 10:00,04.06.2024 17:00,улица академика скрябина 3/1 корп 1,,,,,,,,,,,,
https://investmoscow.ru/tenders/tender/19566594,19566594,https://www.roseltorg.ru/procedure/178fz23042400002,,2024,Открытый аукцион в электронной форме,Завершено,"г. Москва, ул. Академика Скрябина, дом 3/1, корп. 1, этаж 1, пом. 6Н",Рязанский проспект (10 мин),77:04:0002013:14515,55.712409,37.803657,103.4,1,,,Отдельный,13214698.0,25107926.2,90.0%,127801.72,"500 000,00 руб.","132 146,98 руб.",23.04.2024 20:00:00,24.05.2024 15:00:00,31.05.2024 15:00,04.06.2024 10:00,04.06.2024 17:00,улица академика скрябина 3/1 корп 1,,,,,,,,,,,,
https://investmoscow.ru/tenders/tender/19566625,19566625,https://www.roseltorg.ru/procedure/178fz23042400003,,2024,Открытый аукцион в электронной форме,Завершено,"г. Москва, ул. Академика Скрябина, дом 3/1, корп. 1, этаж 1, пом. 7Н",Рязанский проспект (10 мин),77:04:0002013:14516,55.712409,37.803657,60.5,1,,,Отдельный,8602720.0,16259140.8,89.0%,142193.72,"500 000,00 руб.","86 027,20 руб.",23.04.2024 20:00:00,24.05.2024 15:00:00,31.05.2024 15:00,04.06.2024 10:00,04.06.2024 17:00,улица академика скрябина 3/1 корп 1,,,,,,,,,,,,
