id,name,type,address,lat,lon
2913321384,Центр интеллектуального и духовно-православного развития детей и молодёжи,school,,55.7927745,37.9537835
2941191027,Усовская начальная школа,school,,55.7370557,37.2086064
3008237260,Школа № 2104,school,Николоямский переулок,55.7495507,37.6585411
3041391839,Филипповская Школа,school,,55.7293782,37.5708461
3139685557,Школа № 1208 имени Героя Советского Союза М.С. Шумилова. Корпус № 4,school,,55.7071909,37.7710406
3206209441,ГБОУ ЦПМСС «Северо-Запад»,school,,55.815695,37.3984929
3221838128,Школа № 60,school,,55.736385,37.4141123
3221838129,Школа № 64,school,,55.7370554,37.4141306
3377517828,Юридический институт,school,,55.7645291,37.8562168
3398322636,"Социально-реабилитационный центр ""Преодоление""",school,,55.7716765,37.8490458
3588250802,б2о6,school,улица Богданова,55.656123,37.4041211
3687467301,Школа № 3,school,Белорусская улица,55.6616433,37.2986054
3741570155,,school,,55.686451,37.5382072
3741570172,,school,,55.6871486,37.5394425
3794027238,Школа Английского,school,,55.8871929,37.6509059
4043603581,Содружество,school,Гранитная улица,55.9471221,37.488755
4109122593,Воскресная школа,school,,55.7519299,37.8640971
4140258647,Воскресная школа,school,,55.7209014,37.8585908
4160687160,"СОШ ""Горки-Х""",school,,55.7029961,37.0198954
4233749105,,school,,55.4863911,37.5700548
4352604725,Lancman School,school,,55.5737094,37.5910065
4381937594,О'кей инглиш,school,,55.7131516,37.7554185
4381977804,Лига Роботов,school,,55.7131135,37.7554516
4518521699,Мини-школа,school,,55.6942016,37.7877321
4642004020,"Ховринская гимназия ""Лампада""",school,,55.8649026,37.5089872
4666280400,Территория развития,school,,55.6219083,36.9821289
4666280412,Магистра,school,,55.6163318,36.9820109
4750904981,Школа Виктория-2000,school,,55.7169438,37.5770098
4752529949,"Школа № 1331 ""Молодая Иверия""",school,,55.7478298,37.5942907
4757773391,Школа № 1150 имени дважды Героя Советского Союза К.К. Рокоссовского,school,,55.9724485,37.1597934
4757773413,Школа № 2,school,Волковская улица,55.67867,37.9004505
4760975781,Школа № 887. Отделение дополнительного образования детей,school,,55.7351452,37.4406248
4857880422,Утро,school,,55.7253324,37.5256742
4885903622,"Международная гимназия ""Флагман""",school,,55.7610759,37.8538819
