_id,value,geo_lat,geo_lon
5766793e-ba01-4ccb-98b3-ebf041582a9f,"г Москва, ул Марии Ульяновой, д 31",55.682899,37.520195
0ea5b877-8919-496c-841d-64d973da0be9,"г Москва, ул Гарибальди, д 6 к 1",55.676154,37.536131
462f34ca-3ed8-49ec-a206-d8b9a15d4482,"г Москва, ул Гарибальди, д 7",55.677275,37.53738
c82f32e3-4f19-4aec-9ec6-3e853914e768,"г Москва, ул Мосфильмовская, д 41 к 1",55.710951,37.509092
a1e7ced4-f057-4d49-be8c-45a66675253b,"г Москва, Ленинский пр-кт, д 88 к 1",55.676732,37.524983
11539463-60a8-43b5-8044-446c685c5e58,"г Москва, пр-кт Вернадского, д 12 к 7",55.685584,37.51008
3718095e-8346-45a7-8f6a-51a1d106cf56,"г Москва, ул Кравченко, д 16 к 2",55.678854,37.515605
a233f36f-6497-4247-9597-c00d5a897a18,"г Москва, ул Марии Ульяновой, д 17 к 2",55.6806821,37.5216217
b4fa093a-4b59-4f42-8c4e-25a0c7f7ea0b,"г Москва, Ломоносовский пр-кт, д 34",55.708324,37.511024
5436ecbe-0076-4936-80e9-30212b16a4c0,"г Москва, ул Дмитрия Ульянова, д 4 к 1",55.693394,37.557502
32307ee1-1336-45b6-b12d-d63a170a976f,"г Москва, ул Крупской, д 7",55.682316,37.528262
3c6ca229-c84a-4737-94bc-ade5c80f7e6f,"г Москва, Ленинский пр-кт, д 37",55.709956,37.585691
156a0b02-bfed-4518-b817-58f375a02024,"г Москва, Университетский пр-кт, д 23 к 2",55.7146728,37.51856
e6c9dc96-0b70-4dd9-894b-8a10d67285df,"г Москва, пр-кт 60-летия Октября, д 5 к 1",55.705011,37.581289
41d1bfb7-a17d-4ee1-bfa5-85fc11cf6ae0,"г Москва, ул Вавилова, д 46",55.692851,37.562766
ecd7a18e-9ed1-4426-9925-0a03d643943b,"г Москва, Ленинский пр-кт, д 40",55.702947,37.570258
6efdb808-0236-4dd3-a395-707ece6ba7e6,"г Москва, Ленинский пр-кт, д 45 стр 3",55.702698,37.573753
